city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity,Year
Mexico City,02-09-2021,478,16.8,24.7,39.2,49.4,33.2,60,5,Suburban,1059,2021
Mexico City,03-09-2021,151,46.7,51.2,33.2,51.4,2.9,30,4,Urban,956,2021
Cairo,04-09-2021,487,14.1,31.1,33.7,51.4,-2.7,50,13,Urban,909,2021
São Paulo,05-09-2021,77,38.2,23.5,13.8,61.7,7.5,37,3,Urban,1556,2021
Delhi,06-09-2021,265,58.1,29,15.5,39.6,1.1,61,9,Suburban,693,2021
Los Angeles,07-09-2021,465,53.3,66.6,32.5,44.2,1.8,87,8,Rural,1893,2021
Los Angeles,08-09-2021,215,39.2,36.4,36.9,36.7,34.5,35,7,Urban,184,2021
Delhi,10-09-2021,101,47.8,84.9,39.6,45.2,22.8,73,11,Urban,594,2021
Delhi,11-09-2021,142,60.5,45.8,35.9,26.1,1.8,92,6,Suburban,1294,2021
Los Angeles,12-09-2021,321,20.4,42,42.9,45.8,0.1,42,6,Urban,680,2021
Beijing,13-09-2021,28,14,64.3,8.8,33.9,8.9,61,4,Urban,530,2021
São Paulo,14-09-2021,119,19.2,48.4,26.6,40.6,35.2,86,8,Urban,1443,2021
Beijing,15-09-2021,354,27.5,53,42.7,31.8,36.5,71,10,Rural,323,2021
Cairo,16-09-2021,66,31.4,43.2,33.1,33.3,35.3,54,15,Urban,1739,2021
Beijing,17-09-2021,182,61.2,22.5,36.3,34.8,28.8,67,16,Urban,515,2021
Los Angeles,18-09-2021,278,37.9,62.1,43.9,34.5,5.5,27,2,Suburban,921,2021
Delhi,19-09-2021,379,28.3,60.3,25.5,50.8,35.7,39,5,Suburban,1692,2021
Mexico City,20-09-2021,260,60.2,65.6,26.7,43.7,23.7,30,13,Rural,1176,2021
London,21-09-2021,35,32.8,63.6,17.3,28.9,37.1,63,4,Urban,678,2021
Tokyo,22-09-2021,295,48.4,29.8,32.2,60.2,17.9,34,5,Urban,205,2021
London,23-09-2021,229,21.1,63.1,25.4,45.4,31.4,33,6,Urban,1546,2021
Delhi,24-09-2021,197,53.8,46.7,32.5,54.2,28.7,28,9,Urban,657,2021
Beijing,25-09-2021,166,31.9,64.8,48.9,54.3,0.7,68,11,Urban,532,2021
Delhi,26-09-2021,408,30.7,35.6,25.1,24.6,36,73,0,Suburban,888,2021
Delhi,27-09-2021,321,7.6,80.6,29.4,31.9,37,86,4,Urban,1191,2021
Mexico City,28-09-2021,17,26.1,85,34.1,44.9,-3.9,89,7,Urban,1920,2021
Los Angeles,29-09-2021,354,15,37,26.4,33.8,39.5,71,5,Urban,591,2021
Los Angeles,30-09-2021,145,37.8,51.8,28.8,47.6,16.8,41,4,Urban,211,2021
London,01-10-2021,474,20,55.2,31,43.7,3.1,86,10,Urban,1147,2021
Los Angeles,02-10-2021,225,9.8,51.1,9.1,41.5,29.9,48,9,Urban,358,2021
London,03-10-2021,173,43.8,33.5,39.8,39.9,1,32,10,Suburban,1202,2021
Delhi,04-10-2021,61,23.7,14.6,42,47.5,-1.7,90,6,Suburban,1429,2021
Delhi,05-10-2021,64,23,53.8,37,43,15.6,54,4,Rural,1039,2021
Mexico City,06-10-2021,370,73.2,37,8.5,39.2,39.3,49,10,Suburban,640,2021
London,07-10-2021,480,25.3,56.8,38.7,24.7,36.4,74,3,Urban,300,2021
Delhi,08-10-2021,198,49.8,46.6,44.7,40.7,34,81,12,Urban,1460,2021
Beijing,09-10-2021,285,16.9,94,42.3,38,-3.6,43,7,Urban,1604,2021
Mexico City,10-10-2021,477,39.4,47,31.4,62.1,2.8,43,4,Rural,988,2021
Delhi,11-10-2021,466,43.9,77.3,30.9,38.2,8.3,64,6,Suburban,1105,2021
Beijing,12-10-2021,344,7.8,31.3,40.3,37.6,34.3,65,9,Urban,1828,2021
Tokyo,13-10-2021,415,15,67.7,7.2,38.9,0.4,34,7,Urban,959,2021
Mexico City,14-10-2021,258,52.8,53.3,29.5,44.2,18.2,22,6,Suburban,1226,2021
Delhi,15-10-2021,245,28.6,47.4,28.1,25,34.9,66,11,Urban,888,2021
London,16-10-2021,219,36.1,40.3,25.4,47.1,0.7,74,8,Urban,815,2021
Beijing,17-10-2021,44,51,63.4,20.9,39.3,-3.2,86,7,Urban,561,2021
London,18-10-2021,303,54.5,68.6,36.9,44.5,17,49,7,Rural,791,2021
Delhi,19-10-2021,149,25.5,52.7,29.6,36.4,5.3,45,8,Rural,1993,2021
Mexico City,20-10-2021,358,34.6,60.3,36.1,58.2,20.7,53,14,Urban,573,2021
Beijing,21-10-2021,349,27.1,69.1,39.2,33.7,30,41,6,Urban,1742,2021
Delhi,22-10-2021,161,31.9,97.5,31.1,41.9,6.9,50,6,Suburban,1746,2021
Tokyo,23-10-2021,367,25.4,89.9,29.1,26.8,3.8,22,9,Suburban,1731,2021
Delhi,24-10-2021,86,28.5,38.2,11.5,29.2,9.8,73,9,Urban,1912,2021
Delhi,25-10-2021,125,64.7,58.3,18.4,35.9,22.4,70,12,Rural,158,2021
Beijing,26-10-2021,341,27,61.4,31.5,55.3,33.5,76,8,Urban,1968,2021
Los Angeles,27-10-2021,320,5.6,52.1,39.5,31.8,31.9,76,4,Urban,1210,2021
London,28-10-2021,438,31,56.9,22.8,34.4,22,54,7,Urban,606,2021
São Paulo,29-10-2021,51,8.2,29.7,24.7,36.3,-4.9,47,8,Suburban,813,2021
Delhi,30-10-2021,351,39.9,6,32.4,46.1,14.8,92,5,Urban,624,2021
Beijing,31-10-2021,106,32.1,63.4,35.7,67.9,4.2,64,11,Urban,659,2021
Delhi,01-11-2021,171,66.6,77.3,35.6,53.9,11.2,86,12,Urban,845,2021
Mexico City,02-11-2021,61,49.9,24.6,26.3,8.5,33.9,79,8,Suburban,281,2021
São Paulo,03-11-2021,156,2.6,20.8,51.6,41.4,30.7,72,2,Urban,623,2021
Los Angeles,04-11-2021,101,15.2,63.9,40.9,61,-3.3,33,4,Urban,144,2021
Mexico City,05-11-2021,260,30.1,38.1,23.8,39.7,33.3,42,7,Urban,797,2021
Beijing,06-11-2021,82,38.6,27.2,33.2,32.9,28.2,41,10,Urban,904,2021
Tokyo,07-11-2021,289,48.7,53.7,39.4,36.8,22.8,73,13,Urban,1229,2021
Beijing,08-11-2021,359,43.4,58.4,21.4,35.8,0.6,21,3,Suburban,400,2021
Delhi,09-11-2021,199,42.7,73,23.7,42,30.3,54,11,Urban,1877,2021
Beijing,10-11-2021,457,27.2,49.3,29,26.9,16.3,41,8,Urban,981,2021
Delhi,11-11-2021,64,29.5,45.4,18.6,42,13.7,29,7,Rural,960,2021
Delhi,12-11-2021,483,39.8,56.8,19.1,20.2,30.8,46,7,Urban,151,2021
Delhi,13-11-2021,299,39.7,67,34.9,22.6,38.8,80,7,Urban,373,2021
Beijing,14-11-2021,195,41.8,44.5,32.6,43.9,17.3,87,11,Urban,787,2021
Mexico City,15-11-2021,14,21.6,69.6,23.8,29.9,22.8,38,13,Suburban,339,2021
Beijing,16-11-2021,429,34,33,44.9,56.9,5.8,33,6,Urban,1347,2021
Beijing,17-11-2021,471,49.4,2.5,38.7,26.3,-2.4,36,12,Urban,1828,2021
Cairo,18-11-2021,45,25.8,48.5,34.3,23.9,16,40,12,Rural,467,2021
Los Angeles,19-11-2021,132,42.4,42.9,34.2,15.1,-3.9,38,13,Urban,811,2021
Beijing,20-11-2021,284,21.5,40.3,35.7,47.8,-0.3,93,7,Urban,1983,2021
Delhi,21-11-2021,167,33.9,79.9,25.1,41.2,12.3,20,9,Suburban,1670,2021
Tokyo,22-11-2021,302,44.2,66.8,29.4,70.6,6.9,73,9,Suburban,527,2021
Delhi,23-11-2021,294,47.1,16.3,49.8,28.6,31.5,83,4,Urban,1679,2021
Beijing,24-11-2021,205,21.8,41.2,32.4,15.7,0.2,45,7,Urban,352,2021
Tokyo,25-11-2021,364,11.9,58.2,35.8,55.1,1.2,58,4,Suburban,1405,2021
Beijing,26-11-2021,11,55.3,36.8,26.8,68.4,15.2,77,10,Urban,1151,2021
Los Angeles,27-11-2021,315,54,2.6,35.7,37.6,1.3,91,7,Urban,424,2021
Mexico City,28-11-2021,165,5.6,47.7,34,31,28.7,84,8,Urban,1448,2021
Mexico City,29-11-2021,110,42.3,77.6,18.1,28.8,9.8,88,14,Suburban,1860,2021
Delhi,30-11-2021,2,36.4,67.7,23.8,35,27.5,72,10,Urban,1150,2021
Delhi,01-12-2021,14,55.6,39.8,43.4,15.6,19.3,66,10,Suburban,1257,2021
Beijing,02-12-2021,404,54.1,65.9,41.1,41.8,21.8,63,9,Suburban,1252,2021
Delhi,03-12-2021,420,49,68.9,26.3,38.7,10.6,73,7,Urban,1840,2021
London,04-12-2021,499,30.2,68.6,22.2,63.8,30.7,26,8,Urban,682,2021
Delhi,05-12-2021,437,1.1,76.1,43.9,48.4,26.2,20,5,Rural,1792,2021
Mexico City,06-12-2021,103,41.6,29,20.1,29.7,6.4,26,5,Urban,1635,2021
Los Angeles,07-12-2021,103,18,41.4,38.8,36.3,33.5,46,2,Urban,802,2021
Los Angeles,08-12-2021,385,7.9,49.7,26.4,29.8,-1.9,25,4,Suburban,760,2021
Beijing,10-12-2021,445,24.2,34.7,41,52.9,24.1,38,5,Suburban,1458,2021
São Paulo,11-12-2021,21,42.9,66.2,29.7,54.2,33.4,62,12,Urban,349,2021
Mexico City,12-12-2021,144,48.1,83.2,16.4,34.2,28.7,78,11,Urban,1220,2021
London,13-12-2021,101,41.6,37.5,36.6,44.4,-0.1,51,13,Urban,522,2021
Tokyo,14-12-2021,324,7.8,47.2,47.2,53,-2.6,41,13,Urban,1149,2021
Los Angeles,15-12-2021,367,57.4,57,39.4,24.7,16.8,46,7,Suburban,455,2021
Delhi,16-12-2021,124,34.3,47.4,42.9,44.9,18.4,49,4,Urban,1725,2021
Mexico City,17-12-2021,414,41.7,56.4,33.2,38.7,4,29,9,Suburban,1781,2021
Delhi,18-12-2021,33,24,52.3,31.9,40.3,10.7,50,8,Suburban,788,2021
Mexico City,19-12-2021,4,21.4,46.1,49,34.4,39.2,20,7,Urban,992,2021
Cairo,20-12-2021,288,22.2,21.7,34.4,30.2,37.1,38,3,Suburban,155,2021
Beijing,21-12-2021,475,23,60.2,28.5,32,-3.6,21,4,Urban,1514,2021
Beijing,22-12-2021,145,25.8,57.1,44.6,28.9,36,65,11,Suburban,1738,2021
Delhi,23-12-2021,293,53.3,81.4,27,48.4,-3.2,68,8,Rural,53,2021
Cairo,24-12-2021,431,28.5,58.3,20,34,29.4,82,7,Urban,1184,2021
Delhi,25-12-2021,50,43.1,67.7,25.6,24.2,18.7,48,9,Urban,1614,2021
Delhi,26-12-2021,479,26.2,9.6,31.8,49.9,6.7,34,7,Urban,120,2021
Delhi,27-12-2021,310,41,56,35.2,19.7,30.8,30,7,Urban,754,2021
Delhi,28-12-2021,88,34.4,10.7,25.2,45.6,3.5,79,5,Suburban,578,2021
Beijing,29-12-2021,254,25.7,56.6,35.1,24.8,35.6,85,4,Urban,1323,2021
Beijing,30-12-2021,75,13.9,44.8,24.6,25.7,23.3,66,9,Suburban,1756,2021
Beijing,31-12-2021,15,40.7,57.8,13.7,34.8,2.5,21,15,Urban,626,2021
Delhi,01-01-2022,100,20.2,62.9,39.2,46.9,30.1,33,0,Urban,1809,2022
Delhi,02-01-2022,431,42.4,56,12.2,39.9,9,56,3,Urban,1308,2022
Beijing,03-01-2022,232,11.3,29.6,38.1,38.3,24.1,33,5,Urban,1012,2022
Delhi,04-01-2022,171,24.2,46.8,31.1,37.6,27.4,91,2,Urban,356,2022
Mexico City,05-01-2022,159,2.1,32.6,30.5,34.4,26.2,43,0,Suburban,100,2022
Delhi,06-01-2022,463,19.6,62.3,32.1,31.4,18.9,76,12,Urban,639,2022
Beijing,07-01-2022,320,27.9,66.1,19.9,52.8,27.8,94,8,Urban,555,2022
Beijing,08-01-2022,488,54.7,62.6,24.8,37,18.4,25,7,Urban,169,2022
Beijing,09-01-2022,232,56.4,61.3,21.6,25.4,19.5,61,6,Urban,216,2022
Delhi,10-01-2022,372,50.1,51.7,17.8,20.6,38.2,86,11,Suburban,1941,2022
Delhi,11-01-2022,10,43.5,40.2,9,49.8,32.6,94,6,Urban,1056,2022
London,12-01-2022,340,37.6,35.8,32.1,26.8,27.4,74,3,Suburban,1354,2022
Delhi,13-01-2022,374,25.5,19.4,34.1,47.8,11.7,64,3,Suburban,242,2022
Beijing,14-01-2022,439,31.3,38.7,23.8,32.8,26.4,24,4,Rural,448,2022
Beijing,15-01-2022,176,24.5,40.9,49.6,41.4,36.1,44,3,Urban,553,2022
Beijing,16-01-2022,279,50.8,38,46,23.2,31.1,24,10,Urban,266,2022
Beijing,17-01-2022,331,28.5,66.1,27.3,52.5,20.5,77,10,Urban,1497,2022
Los Angeles,18-01-2022,367,51.6,57.2,23.5,31,38.1,93,4,Rural,1043,2022
London,19-01-2022,420,13.9,52.4,31.9,47.4,7.9,63,5,Rural,785,2022
Delhi,20-01-2022,171,57.8,57.9,23.2,24.8,8.5,85,9,Suburban,1249,2022
Beijing,21-01-2022,54,23.7,59.8,9.9,62.8,27.7,22,5,Suburban,425,2022
Delhi,22-01-2022,480,28.3,69.8,18.1,32.9,10.7,56,2,Suburban,280,2022
Beijing,23-01-2022,297,38.8,31.6,27.4,25.9,9.2,25,5,Suburban,325,2022
Mexico City,24-01-2022,82,14,11.7,23.4,45.9,13.5,64,4,Suburban,1616,2022
Delhi,25-01-2022,466,34.6,64.8,23.7,45.1,38.9,47,10,Suburban,864,2022
Beijing,26-01-2022,492,28,35.8,41.4,33.8,18.8,32,5,Suburban,1076,2022
Tokyo,27-01-2022,67,52.7,48.9,44.5,52.7,-4.2,36,9,Urban,758,2022
Delhi,28-01-2022,459,25.2,97.4,29.5,32.9,-3.2,51,3,Urban,797,2022
Beijing,29-01-2022,303,55.9,103.3,35.8,48.9,5.1,50,4,Suburban,941,2022
Los Angeles,30-01-2022,88,36.7,60.7,37.3,41.7,31.7,70,4,Urban,1252,2022
Delhi,31-01-2022,108,22.9,72.3,26.3,25,12.3,78,6,Urban,1822,2022
Delhi,01-02-2022,98,39,73,20.6,24.4,4.4,85,5,Urban,214,2022
Delhi,02-02-2022,213,37.1,24.4,24.9,67,38.5,86,13,Urban,244,2022
Tokyo,03-02-2022,401,19,53.1,22.1,47.5,-1.3,20,3,Urban,1895,2022
Delhi,04-02-2022,365,28,64.5,12.7,32.8,14.7,94,8,Suburban,1279,2022
Delhi,05-02-2022,219,36.1,61.5,26.7,45.1,-4.1,63,5,Urban,269,2022
Delhi,06-02-2022,420,53.4,56.8,36,51.1,33.5,76,11,Urban,459,2022
Delhi,07-02-2022,483,55.1,81,38.7,13.7,-4.8,84,10,Urban,969,2022
Mexico City,08-02-2022,462,30,65.2,38,36.5,36.5,70,7,Urban,951,2022
Mexico City,10-02-2022,401,60.2,60.1,26.2,39,34,26,10,Urban,1212,2022
Mexico City,11-02-2022,87,28.1,37.5,33.8,36.2,25.8,58,2,Suburban,1502,2022
London,12-02-2022,434,26.1,38.6,18.1,52.4,7.6,77,12,Suburban,888,2022
Delhi,13-02-2022,149,32.4,89.2,39.6,39.4,10.4,38,14,Urban,1731,2022
London,14-02-2022,45,49,38,32,33.7,7.4,36,16,Rural,1203,2022
Mexico City,15-02-2022,1,44.7,45,41.1,33.1,31.5,31,8,Suburban,1250,2022
Delhi,16-02-2022,350,33.3,12.4,33,51.8,19.2,60,2,Urban,462,2022
Los Angeles,17-02-2022,129,43.5,42.5,38.3,56.2,34.4,87,8,Urban,1698,2022
London,18-02-2022,348,13.3,37.7,23.7,32.9,39.7,24,8,Urban,1648,2022
Delhi,19-02-2022,172,17.8,92.7,18.9,34.1,14.7,70,12,Urban,1672,2022
Tokyo,20-02-2022,43,45.9,89.7,26.2,49.5,30.2,53,11,Urban,269,2022
Beijing,21-02-2022,186,5,33.9,13.4,44.4,22.6,42,2,Suburban,1243,2022
Mexico City,22-02-2022,168,23.9,81.7,39.8,39,9.7,61,10,Urban,862,2022
São Paulo,23-02-2022,214,52.7,51.9,42.5,40.6,28.8,88,16,Rural,971,2022
Beijing,24-02-2022,176,39.5,33.2,36,51.1,3.9,34,5,Suburban,1698,2022
London,25-02-2022,193,48.4,44.7,25.4,29.9,23.7,44,6,Suburban,249,2022
Beijing,26-02-2022,323,33.7,34.3,46.9,39.7,23.4,32,11,Urban,968,2022
Los Angeles,27-02-2022,197,72.4,26.2,32.1,34.2,29.8,54,13,Rural,1804,2022
Mexico City,28-02-2022,271,62.2,48.2,31.5,22.3,33.4,79,10,Urban,1486,2022
Delhi,01-03-2022,117,26.7,51.1,26.9,44.9,15.7,56,7,Rural,1789,2022
Beijing,02-03-2022,468,2.9,43.9,35.7,35.3,13.2,21,5,Rural,510,2022
Beijing,03-03-2022,481,27.2,76.2,29.5,52.3,26,77,8,Urban,730,2022
Delhi,05-03-2022,425,35.8,52.8,26.1,31.9,36.5,54,8,Suburban,232,2022
Beijing,06-03-2022,296,14.5,82.4,13.2,49,30.1,90,5,Urban,1930,2022
Delhi,07-03-2022,402,39.4,50.8,22.8,21.1,16.7,25,10,Urban,183,2022
Delhi,08-03-2022,66,28.9,40.7,23.8,53.5,24.4,60,0,Urban,1327,2022
Los Angeles,09-03-2022,346,18.6,94.9,15.4,37.4,5.1,32,2,Urban,1435,2022
Los Angeles,10-03-2022,429,7.9,67.4,19.6,33.6,35,43,4,Urban,115,2022
Los Angeles,11-03-2022,176,26.4,25.7,37.4,68.7,8.2,93,10,Suburban,1312,2022
Beijing,12-03-2022,190,32.7,42.1,17.6,36.7,30.7,29,6,Suburban,1629,2022
Mexico City,14-03-2022,139,34.6,27.5,34.7,51.5,7,71,10,Urban,712,2022
Delhi,15-03-2022,402,37.5,68.3,11.6,46.8,37.4,89,7,Urban,835,2022
Delhi,16-03-2022,141,17.5,57.2,21,17.8,29.2,42,6,Urban,285,2022
Mexico City,17-03-2022,241,27.5,66.9,51.4,58.1,28.7,68,7,Urban,1160,2022
Delhi,18-03-2022,59,35.7,43.8,33.7,51.3,4.2,21,12,Urban,1299,2022
Beijing,19-03-2022,448,31.6,37.8,46.5,43.8,0.5,55,10,Urban,786,2022
São Paulo,20-03-2022,104,40.2,42.1,26.6,43.3,20.1,43,9,Suburban,953,2022
Delhi,21-03-2022,350,22.7,42,38.5,35.5,32.6,69,9,Suburban,1379,2022
Delhi,22-03-2022,192,45.6,60.2,42.7,45.1,28.1,68,8,Urban,513,2022
São Paulo,23-03-2022,80,55.9,34.2,37.2,53.6,21.3,70,4,Urban,1504,2022
Mexico City,24-03-2022,17,6.6,8.2,30.6,24,8.7,41,8,Urban,866,2022
Delhi,25-03-2022,67,32.4,14.4,17.9,36.9,22.7,22,1,Urban,109,2022
Tokyo,26-03-2022,253,61.7,76.6,33.2,12.9,-0.1,92,7,Suburban,716,2022
Tokyo,27-03-2022,93,7.8,58.7,26,23.5,13.4,87,10,Urban,938,2022
Beijing,28-03-2022,92,22.9,13.5,46.4,39.8,37.2,30,4,Suburban,1713,2022
Mexico City,29-03-2022,476,50.9,65.4,25.7,53.5,17.9,51,10,Urban,1094,2022
Delhi,30-03-2022,275,37.7,53.3,30.5,37,33.2,39,3,Urban,1169,2022
Delhi,31-03-2022,33,34.4,44.2,27.2,41.3,16.9,60,6,Rural,1167,2022
Mexico City,01-04-2022,68,14.7,91.2,26.1,46.1,7,52,8,Urban,278,2022
Delhi,02-04-2022,262,42.7,39.9,29.3,35.7,13.2,57,8,Suburban,163,2022
Mexico City,03-04-2022,128,52.8,69.7,34.1,41,-0.3,35,5,Urban,837,2022
London,04-04-2022,109,40.3,95.6,19.9,32,17,43,1,Urban,742,2022
Delhi,05-04-2022,395,26.4,50.2,20.8,43.8,16.7,23,11,Urban,572,2022
Mexico City,06-04-2022,233,32.4,49.3,49.5,34,29.4,72,8,Rural,1108,2022
Delhi,07-04-2022,497,21.4,42.2,13,18,25.1,39,16,Suburban,871,2022
London,08-04-2022,336,29.3,48.4,19.4,43.8,1.9,43,7,Urban,1511,2022
Delhi,09-04-2022,174,11.5,30.8,42.3,56.8,13.2,33,12,Rural,379,2022
Mexico City,10-04-2022,404,27.8,44.5,31.4,23.2,18.2,33,15,Urban,1925,2022
Mexico City,11-04-2022,236,46.4,43.6,28.9,32.2,34.6,48,9,Suburban,1385,2022
Beijing,12-04-2022,371,35.5,63,24.1,48.8,9.4,94,5,Suburban,308,2022
Mexico City,13-04-2022,220,32.2,45,44,34.7,9.6,63,5,Urban,127,2022
Los Angeles,14-04-2022,0,21.7,47.7,42,55.3,6.7,73,11,Urban,1427,2022
Mexico City,15-04-2022,179,36.8,60,4.5,20.6,11.1,41,4,Suburban,954,2022
Los Angeles,16-04-2022,105,39.8,59.3,24.3,27.8,1.5,67,8,Urban,656,2022
São Paulo,17-04-2022,129,23.5,47.2,17.4,34.9,39.2,71,7,Urban,944,2022
Beijing,18-04-2022,195,27,8.5,25.3,49.7,7.4,84,6,Suburban,673,2022
Beijing,19-04-2022,321,11.7,84.8,37.6,52.6,0.5,58,3,Urban,388,2022
Delhi,20-04-2022,411,47,70.4,14,41.2,25.3,67,11,Urban,337,2022
Los Angeles,21-04-2022,117,59.9,68.8,39.7,40.9,20,60,11,Suburban,222,2022
Beijing,22-04-2022,296,27.1,51.4,34.4,30,16.9,22,4,Urban,487,2022
Beijing,23-04-2022,224,44.3,71.8,30.7,47.5,-2.4,65,11,Urban,741,2022
Delhi,24-04-2022,29,50.1,73.2,42.9,40.4,26.1,54,12,Rural,1133,2022
Tokyo,25-04-2022,197,33.4,36,39,23.8,39.8,63,12,Suburban,1643,2022
Beijing,26-04-2022,359,42.2,44.4,37.5,49.3,4.9,37,10,Urban,525,2022
Mexico City,27-04-2022,373,22.6,53.2,28.4,27.6,12.8,34,9,Urban,838,2022
Delhi,28-04-2022,384,47.1,54,27,41.4,34.5,59,6,Suburban,1332,2022
Cairo,29-04-2022,408,25.9,33.6,36.3,31.4,-3.3,81,15,Suburban,1266,2022
Delhi,30-04-2022,261,39.2,38.7,18.6,32.8,1.2,59,6,Urban,315,2022
Delhi,01-05-2022,10,43.6,66.5,25.9,46.7,27.5,84,13,Urban,1817,2022
London,02-05-2022,184,38.7,6.1,21.2,36.7,-3.9,62,6,Urban,513,2022
Tokyo,03-05-2022,283,47.6,43.2,25.5,37.7,32.7,59,10,Suburban,152,2022
Delhi,04-05-2022,130,16.7,52.3,37.2,38.6,17.6,44,7,Suburban,1722,2022
Beijing,05-05-2022,57,42.9,42.6,31,52.1,18.4,37,6,Suburban,396,2022
Los Angeles,06-05-2022,184,32.3,51,31.3,34.6,0.7,44,9,Urban,1086,2022
London,07-05-2022,44,35,39.3,21.7,29.5,26.4,80,5,Rural,984,2022
Beijing,08-05-2022,402,33.6,66.8,40.6,31.1,36.3,61,10,Urban,1771,2022
Beijing,09-05-2022,169,32.2,87.5,24.6,29,26.2,70,8,Suburban,1463,2022
Los Angeles,10-05-2022,298,56.3,69.6,31,31,8.3,25,13,Urban,66,2022
Los Angeles,11-05-2022,35,44.2,81.3,41.3,12.1,24.7,63,9,Urban,1417,2022
Los Angeles,12-05-2022,235,3.6,37.1,17.5,43.7,12.8,36,5,Urban,70,2022
Mexico City,13-05-2022,464,46.2,40.4,32.6,47.4,-1.2,77,8,Urban,1315,2022
Delhi,14-05-2022,125,42.9,36.9,45.3,41.7,24,91,9,Suburban,1179,2022
Tokyo,15-05-2022,346,24.1,71.9,40.8,37.6,7.8,62,4,Urban,929,2022
London,16-05-2022,177,40.2,38.5,34.3,51.3,33,50,10,Rural,1858,2022
Los Angeles,17-05-2022,322,34.6,58.9,23.2,39,13,53,9,Urban,1513,2022
Delhi,18-05-2022,491,38.1,63.2,44,42.2,36.9,83,1,Rural,1916,2022
Delhi,19-05-2022,84,23.3,49.2,36.2,61.5,6.2,85,6,Rural,1648,2022
Los Angeles,20-05-2022,62,13.7,65.6,35.4,48.8,22.9,54,3,Urban,652,2022
Cairo,22-05-2022,254,27.7,84.2,32,39.2,3.7,63,5,Urban,874,2022
Beijing,23-05-2022,130,25,69.3,30.2,43,5.9,64,8,Urban,441,2022
Los Angeles,24-05-2022,288,42.5,47.9,30.2,39,39.5,48,2,Suburban,291,2022
Tokyo,25-05-2022,131,28.2,53.7,31.2,8.9,32.4,24,5,Suburban,216,2022
Beijing,26-05-2022,223,38.6,5.5,25.7,51.3,11.9,80,4,Urban,1789,2022
Beijing,27-05-2022,445,23.4,57.8,25.5,45.5,8.6,76,13,Urban,1068,2022
Mexico City,28-05-2022,178,42.2,7.5,31.6,36.5,24,61,7,Urban,758,2022
Mexico City,29-05-2022,312,49.7,32.5,21.1,58.3,24,39,10,Rural,1409,2022
Beijing,30-05-2022,460,37.9,74.9,24.1,41.9,28.1,84,6,Urban,1609,2022
Mexico City,31-05-2022,333,19.5,61.3,16.2,40.5,30.4,41,0,Urban,460,2022
Tokyo,01-06-2022,199,40.9,56.7,31.1,21.5,-4.8,67,10,Suburban,1781,2022
Beijing,02-06-2022,486,23.9,47.3,29.9,46.4,33.9,65,9,Urban,590,2022
Delhi,03-06-2022,222,38.3,33.5,36.5,34.4,-1.6,71,13,Urban,228,2022
Beijing,04-06-2022,199,6.2,30.7,30.5,34.1,17.1,30,2,Rural,441,2022
Beijing,05-06-2022,314,49,57.6,29.4,35.3,-1.8,70,16,Urban,1736,2022
Delhi,06-06-2022,137,39.2,28.5,36.8,46.5,5.6,37,11,Urban,555,2022
Delhi,07-06-2022,244,38,50.9,24.2,57.3,33.3,66,8,Urban,1915,2022
Mexico City,08-06-2022,133,50.1,53.5,36.2,46.8,12,80,7,Suburban,1466,2022
Beijing,09-06-2022,30,9.7,44.8,22.1,51.6,-0.8,74,9,Suburban,684,2022
Cairo,10-06-2022,99,22.8,34.3,22.3,27.2,24.5,77,5,Urban,1445,2022
Delhi,11-06-2022,343,29.3,53.7,24.6,56.5,25.2,48,5,Urban,1663,2022
Delhi,12-06-2022,418,0.9,35.1,25.6,46.3,11.2,62,5,Suburban,537,2022
Los Angeles,13-06-2022,100,38.7,52.4,31.8,37.1,21.6,82,8,Urban,563,2022
Tokyo,14-06-2022,144,18.9,51,23.6,44,38.9,24,11,Urban,1808,2022
Delhi,15-06-2022,77,53.6,90.7,28.3,32.7,11.2,71,9,Urban,1898,2022
Delhi,16-06-2022,58,21.8,63.7,30.2,49.4,26.4,30,11,Rural,796,2022
Delhi,17-06-2022,96,51.7,29.8,12.6,43.9,18.6,39,8,Urban,1926,2022
Beijing,18-06-2022,387,20.1,70.6,25.9,41.2,16,62,11,Suburban,1727,2022
Beijing,19-06-2022,380,52.6,32.7,22.4,41.9,11.8,45,15,Suburban,100,2022
Delhi,20-06-2022,481,31.3,88.4,45.2,71.4,27.3,74,7,Urban,144,2022
Delhi,21-06-2022,10,24.5,41.7,26,52.4,16.1,34,6,Urban,1346,2022
Beijing,22-06-2022,383,61.9,87,26.1,40.2,33.5,37,6,Urban,935,2022
Cairo,23-06-2022,292,49.3,54.9,34.5,35.1,32.7,24,11,Urban,1361,2022
Mexico City,24-06-2022,166,32.5,35.2,23.6,44.9,17.1,48,10,Urban,1700,2022
Beijing,25-06-2022,83,9.6,32.7,33.9,34.9,5.6,37,2,Urban,1248,2022
Delhi,26-06-2022,86,20.5,74,23.8,24,5,82,8,Suburban,55,2022
Delhi,27-06-2022,254,36.8,51.2,39.3,36.9,-2.6,80,9,Urban,231,2022
Delhi,28-06-2022,393,26.3,39.1,34.2,43.2,0.5,70,8,Rural,909,2022
Los Angeles,29-06-2022,66,20.5,56.4,43.4,42.4,-0.3,70,10,Urban,1853,2022
Tokyo,01-07-2022,79,48.2,71,39.8,30.6,27.9,45,10,Suburban,656,2022
